date,slot_name,ad_requests,impressions,impression_rate,clicks,click_rate,ecpm,income,raw_json
2026-06-22,文章底部广告,4922,657,0.1335,2,0.003,3.64,2.39,"{""时间"": ""2026-06-22"", ""拉取量"": ""4,922"", ""曝光量"": ""657"", ""曝光率"": ""13.35%"", ""点击量"": ""2"", ""点击率"": ""0.30%"", ""eCPM（元）"": ""3.64"", ""收入（元）"": ""2.39""}"
2026-06-22,留言区广告,4444,225,0.0506,1,0.0044,4.93,1.11,"{""时间"": ""2026-06-22"", ""拉取量"": ""4,444"", ""曝光量"": ""225"", ""曝光率"": ""5.06%"", ""点击量"": ""1"", ""点击率"": ""0.44%"", ""eCPM（元）"": ""4.93"", ""收入（元）"": ""1.11""}"
2026-06-22,贴图底部推荐流广告,55,3,0.0545,0,0.0,0.0,0.0,"{""时间"": ""2026-06-22"", ""拉取量"": ""55"", ""曝光量"": ""3"", ""曝光率"": ""5.45%"", ""点击量"": ""0"", ""点击率"": ""0.00%"", ""eCPM（元）"": ""0.00"", ""收入（元）"": ""0.00""}"
2026-06-23,文章中部广告,11436,5273,0.4611,22,0.0042,2.03,10.7,"{""时间"": ""2026-06-23"", ""拉取量"": ""11,436"", ""曝光量"": ""5,273"", ""曝光率"": ""46.11%"", ""点击量"": ""22"", ""点击率"": ""0.42%"", ""eCPM（元）"": ""2.03"", ""收入（元）"": ""10.70""}"
2026-06-23,文章底部广告,5813,813,0.1399,5,0.0062,2.3,1.87,"{""时间"": ""2026-06-23"", ""拉取量"": ""5,813"", ""曝光量"": ""813"", ""曝光率"": ""13.99%"", ""点击量"": ""5"", ""点击率"": ""0.62%"", ""eCPM（元）"": ""2.30"", ""收入（元）"": ""1.87""}"
2026-06-23,留言区广告,6535,336,0.051399999999999994,0,0.0,2.47,0.83,"{""时间"": ""2026-06-23"", ""拉取量"": ""6,535"", ""曝光量"": ""336"", ""曝光率"": ""5.14%"", ""点击量"": ""0"", ""点击率"": ""0.00%"", ""eCPM（元）"": ""2.47"", ""收入（元）"": ""0.83""}"
2026-06-23,贴图底部推荐流广告,44,3,0.0682,0,0.0,0.0,0.0,"{""时间"": ""2026-06-23"", ""拉取量"": ""44"", ""曝光量"": ""3"", ""曝光率"": ""6.82%"", ""点击量"": ""0"", ""点击率"": ""0.00%"", ""eCPM（元）"": ""0.00"", ""收入（元）"": ""0.00""}"
2026-06-24,文章中部广告,15293,6590,0.43090000000000006,28,0.0042,2.65,17.47,"{""时间"": ""2026-06-24"", ""拉取量"": ""15,293"", ""曝光量"": ""6,590"", ""曝光率"": ""43.09%"", ""点击量"": ""28"", ""点击率"": ""0.42%"", ""eCPM（元）"": ""2.65"", ""收入（元）"": ""17.47""}"
2026-06-24,文章底部广告,7811,971,0.1243,0,0.0,2.29,2.22,"{""时间"": ""2026-06-24"", ""拉取量"": ""7,811"", ""曝光量"": ""971"", ""曝光率"": ""12.43%"", ""点击量"": ""0"", ""点击率"": ""0.00%"", ""eCPM（元）"": ""2.29"", ""收入（元）"": ""2.22""}"
2026-06-24,留言区广告,11809,561,0.0475,2,0.0036,2.07,1.16,"{""时间"": ""2026-06-24"", ""拉取量"": ""11,809"", ""曝光量"": ""561"", ""曝光率"": ""4.75%"", ""点击量"": ""2"", ""点击率"": ""0.36%"", ""eCPM（元）"": ""2.07"", ""收入（元）"": ""1.16""}"
2026-06-24,贴图底部推荐流广告,67,5,0.0746,0,0.0,28.0,0.14,"{""时间"": ""2026-06-24"", ""拉取量"": ""67"", ""曝光量"": ""5"", ""曝光率"": ""7.46%"", ""点击量"": ""0"", ""点击率"": ""0.00%"", ""eCPM（元）"": ""28.00"", ""收入（元）"": ""0.14""}"
2026-06-25,文章中部广告,16787,7505,0.4471,32,0.0043,1.94,14.56,"{""时间"": ""2026-06-25"", ""拉取量"": ""16,787"", ""曝光量"": ""7,505"", ""曝光率"": ""44.71%"", ""点击量"": ""32"", ""点击率"": ""0.43%"", ""eCPM（元）"": ""1.94"", ""收入（元）"": ""14.56""}"
2026-06-25,文章底部广告,8614,1059,0.1229,0,0.0,2.54,2.69,"{""时间"": ""2026-06-25"", ""拉取量"": ""8,614"", ""曝光量"": ""1,059"", ""曝光率"": ""12.29%"", ""点击量"": ""0"", ""点击率"": ""0.00%"", ""eCPM（元）"": ""2.54"", ""收入（元）"": ""2.69""}"
2026-06-25,留言区广告,13101,671,0.0512,3,0.0045000000000000005,3.29,2.21,"{""时间"": ""2026-06-25"", ""拉取量"": ""13,101"", ""曝光量"": ""671"", ""曝光率"": ""5.12%"", ""点击量"": ""3"", ""点击率"": ""0.45%"", ""eCPM（元）"": ""3.29"", ""收入（元）"": ""2.21""}"
2026-06-25,贴图底部推荐流广告,87,9,0.10339999999999999,0,0.0,2.22,0.02,"{""时间"": ""2026-06-25"", ""拉取量"": ""87"", ""曝光量"": ""9"", ""曝光率"": ""10.34%"", ""点击量"": ""0"", ""点击率"": ""0.00%"", ""eCPM（元）"": ""2.22"", ""收入（元）"": ""0.02""}"
2026-06-26,文章中部广告,14081,5983,0.4249,30,0.005,1.8,10.77,"{""时间"": ""2026-06-26"", ""拉取量"": ""14,081"", ""曝光量"": ""5,983"", ""曝光率"": ""42.49%"", ""点击量"": ""30"", ""点击率"": ""0.50%"", ""eCPM（元）"": ""1.80"", ""收入（元）"": ""10.77""}"
2026-06-26,文章底部广告,7127,847,0.1188,5,0.0059,2.49,2.11,"{""时间"": ""2026-06-26"", ""拉取量"": ""7,127"", ""曝光量"": ""847"", ""曝光率"": ""11.88%"", ""点击量"": ""5"", ""点击率"": ""0.59%"", ""eCPM（元）"": ""2.49"", ""收入（元）"": ""2.11""}"
2026-06-26,留言区广告,11459,532,0.0464,3,0.005600000000000001,2.54,1.35,"{""时间"": ""2026-06-26"", ""拉取量"": ""11,459"", ""曝光量"": ""532"", ""曝光率"": ""4.64%"", ""点击量"": ""3"", ""点击率"": ""0.56%"", ""eCPM（元）"": ""2.54"", ""收入（元）"": ""1.35""}"
2026-06-26,贴图底部推荐流广告,72,8,0.11109999999999999,0,0.0,2.5,0.02,"{""时间"": ""2026-06-26"", ""拉取量"": ""72"", ""曝光量"": ""8"", ""曝光率"": ""11.11%"", ""点击量"": ""0"", ""点击率"": ""0.00%"", ""eCPM（元）"": ""2.50"", ""收入（元）"": ""0.02""}"
2026-06-27,文章中部广告,9882,4036,0.40840000000000004,25,0.0062,2.82,11.37,"{""时间"": ""2026-06-27"", ""拉取量"": ""9,882"", ""曝光量"": ""4,036"", ""曝光率"": ""40.84%"", ""点击量"": ""25"", ""点击率"": ""0.62%"", ""eCPM（元）"": ""2.82"", ""收入（元）"": ""11.37""}"
2026-06-27,文章底部广告,5027,509,0.1013,0,0.0,2.85,1.45,"{""时间"": ""2026-06-27"", ""拉取量"": ""5,027"", ""曝光量"": ""509"", ""曝光率"": ""10.13%"", ""点击量"": ""0"", ""点击率"": ""0.00%"", ""eCPM（元）"": ""2.85"", ""收入（元）"": ""1.45""}"
2026-06-27,留言区广告,7746,288,0.037200000000000004,2,0.0069,3.68,1.06,"{""时间"": ""2026-06-27"", ""拉取量"": ""7,746"", ""曝光量"": ""288"", ""曝光率"": ""3.72%"", ""点击量"": ""2"", ""点击率"": ""0.69%"", ""eCPM（元）"": ""3.68"", ""收入（元）"": ""1.06""}"
2026-06-27,贴图底部推荐流广告,37,3,0.08109999999999999,0,0.0,0.0,0.0,"{""时间"": ""2026-06-27"", ""拉取量"": ""37"", ""曝光量"": ""3"", ""曝光率"": ""8.11%"", ""点击量"": ""0"", ""点击率"": ""0.00%"", ""eCPM（元）"": ""0.00"", ""收入（元）"": ""0.00""}"
2026-06-28,文章中部广告,12231,5858,0.4789,33,0.005600000000000001,3.22,18.84,"{""时间"": ""2026-06-28"", ""拉取量"": ""12,231"", ""曝光量"": ""5,858"", ""曝光率"": ""47.89%"", ""点击量"": ""33"", ""点击率"": ""0.56%"", ""eCPM（元）"": ""3.22"", ""收入（元）"": ""18.84""}"
2026-06-28,文章底部广告,6201,696,0.11220000000000001,1,0.0014000000000000002,3.36,2.34,"{""时间"": ""2026-06-28"", ""拉取量"": ""6,201"", ""曝光量"": ""696"", ""曝光率"": ""11.22%"", ""点击量"": ""1"", ""点击率"": ""0.14%"", ""eCPM（元）"": ""3.36"", ""收入（元）"": ""2.34""}"
2026-06-28,留言区广告,6070,245,0.0404,0,0.0,4.0,0.98,"{""时间"": ""2026-06-28"", ""拉取量"": ""6,070"", ""曝光量"": ""245"", ""曝光率"": ""4.04%"", ""点击量"": ""0"", ""点击率"": ""0.00%"", ""eCPM（元）"": ""4.00"", ""收入（元）"": ""0.98""}"
2026-06-28,贴图底部推荐流广告,14,2,0.1429,0,0.0,0.0,0.0,"{""时间"": ""2026-06-28"", ""拉取量"": ""14"", ""曝光量"": ""2"", ""曝光率"": ""14.29%"", ""点击量"": ""0"", ""点击率"": ""0.00%"", ""eCPM（元）"": ""0.00"", ""收入（元）"": ""0.00""}"
